Body_summary,Cleaned_body_sample,Class
"Tap to read all about it. Forwarded message: ""This is the reason we loved 2023!"" Back to the page you came from.",tap read forwarded message reason loved 2023 back page came,Food
"The email was sent on December 30, 2023. The subject line was: India's Impressive 2023 Pizza Stats. If you'd like to unsubscribe, click here.",email sent december 30 2023 subject line indias impressive 2023 pizza stats youd like unsubscribe click,Food
We have an important message for you. Maybe the last message of the year. We have a promise to make.,important message maybe last message year promise make,Food
"Tap to read all about it. Forwarded message: ""Our Last Message (for 2023)"".",tap read forwarded message last message 2023,Food
"This message was sent on January 1, 2024 at 12:14pm. The email was sent from the Zomato account of Saikumarbavisetti.",message sent january 1 2024 1214pm email sent zomato account saikumarbavisetti,Food
"The message was sent on January 6, 2024 at 4:35pm. It was sent by Swiggy to Saikumarbavisetti.",message sent january 6 2024 435pm sent swiggy saikumarbavisetti,Food
"We have an announcement. If you’re someone who has a hard time deciding what to order or like ordering from multiple places, read this.Tap here to read this mail.",announcement ’ someone hard time deciding order like ordering multiple places read thistap read mail,Food
Your 2024 Food Horoscope is inside. Forwarded message is from Swiggy to <saikumarbavisetti@gmail.com.,2024 food horoscope inside forwarded message swiggy saikumarbavisettigmailcom,Food
"The message was sent on Jan 14, 2024 at 2:31 PM. The subject of the message was: Our food calendar is packed!",message sent jan 14 2024 231 pm subject message food calendar packed,Food
"If you'd like to unsubscribe and stop receiving these emails, click here. If you want to continue receiving emails, you can unsubscribe by clicking here.",youd like unsubscribe stop receiving emails click want continue receiving emails unsubscribe clicking,Food
"Don't text your ex! Do this instead. If you'd like to unsubscribe and stop receiving these emails, click here.",dont text ex instead youd like unsubscribe stop receiving emails click,Food
"At Synchrony Careers, we take a careful approach to overall well-being since we know that our workforce is what makes us successful. Our strategy for each person respects each person's needs and needs while promoting employee involvement, efficiency, and success.",synchrony careers take careful approach overall wellbeing since know workforce makes us successful strategy person respects persons needs needs promoting employee involvement efficiency success,Job
"This New Year, we’ve made a NY resolution — not for us, but for you. We hope this year you get to have more meals than read mails. May 2024 be the best year for your cravings.",new year ’ made ny resolution — us hope year get meals read mails may 2024 best year cravings,Food
"Enjoy 80% cashback on fish, seafood & meats!!’s a way to celebrate 8 years of saying NO.",enjoy 80 cashback fish seafood meats ’ way celebrate 8 years saying,Food
Your package has been delivered. Please rate your delivery experience. Back to Mail Online home. Back To the page you came from.,package delivered please rate delivery experience back mail online home back page came,Ecom
"Some tips are actually priceless, what we recommend is that you write them down on a piece of paper and memorise it. Some tips may or may not apply to you, read and practice them at your own risk.",tips actually priceless recommend write piece paper memorise tips may may apply read practice risk,Food
If you'd like to stop receiving these emails click here to unsubscribe and stop receiving emails from Dominos.,youd like stop receiving emails click unsubscribe stop receiving emails dominos,Food
"This email has a surprise, and we cannot tell you what it is now. Once you receive thetap, you will get to meet Patty, a fighter. The movie releases on 25th January in cinemas near you.",email surprise tell receive thetap get meet patty fighter movie releases 25th january cinemas near,Food
"Big Basket CEO sends an email to customers. The email is titled: ""A letter from our CEO"" The email was sent on Jan 25, 2024.",big basket ceo sends email customers email titled letter ceo email sent jan 25 2024,Food
"It's an exciting time to be a part of HP, and there are many opportunities. We think you'll be interested in: Data Enablement & Analytics.",exciting time part hp many opportunities think youll interested data enablement analytics,Job
