Subject,Cleaned_Subject_sample,Class
This is the reason we loved 2023!,reason loved 2023,Food
India's Impressive 2023 Pizza Stats 📈🍕,indias impressive 2023 pizza stats 📈🍕,Food
The last email of 2023 🎉,last email 2023 🎉,Food
Our Last Message (for 2023)! 💌,last message 2023 💌,Food
Something happened last night ✨,something happened last night ✨,Food
Pretty sure you'll want THIS! 😜,pretty sure youll want 😜,Food
Something new on Zomato 📣,something new zomato 📣,Food
Your 2024 Food Horoscope is inside. 👩‍🍳 🔮,2024 food horoscope inside 👩‍🍳 🔮,Food
Our food calendar is packed! 😍😍,food calendar packed 😍😍,Food
Cravings calling? Here's your answer 😎,cravings calling heres answer 😎,Food
Don't text your ex! Do this instead 😎,dont text ex instead 😎,Food
"Your Career Ambitions, Realized",career ambitions realized,Job
"Tap to think about meals, not mails 😉",tap think meals mails 😉,Food
Celebrating 8 years of saying NO,celebrating 8 years saying,Food
Delivered Your Amazon package has been delivered.,delivered amazon package delivered,Ecom
Priceless tip inside 📩,priceless tip inside 📩,Food
"Time for Winner Winner, Pizza Dinner 🤩 🎮",time winner winner pizza dinner 🤩 🎮,Food
See who else is taking orders 👀,see else taking orders 👀,Food
A letter from our CEO,letter ceo,Food
Explore exciting new opportunities at HP,explore exciting new opportunities hp,Job
A message for Republic Day 🇮🇳,message republic day 🇮🇳,Food
Message for ‘The People Of India’! 🟠⚪🟢,message ‘ people india ’ 🟠⚪🟢,Food
Urgent: Your Elite Insider Status Is At risk,urgent elite insider status risk,Ecom
LSEG Hyderabad career opportunities and news - here for you!,lseg hyderabad career opportunities news,Job
Solve this puzzle for gift(s). 😍,solve puzzle gifts 😍,Food
Your Amazon.in order #407-5167811-1348352,amazonin order 40751678111348352,Ecom
Delivered: Your Amazon package has been delivered.,delivered amazon package delivered,Ecom
Thank God It’s Fry-day!,thank god ’ fryday,Food
2 things to do this weekend! ✌️,2 things weekend ✌️,Food
This mail is about a special day ☺️🗓,mail special day ☺️🗓,Food
Your Amazon.in order #407-1199267-3323558 of 1 item,amazonin order 40711992673323558 1 item,Ecom
Your Amazon.in order #407-1199267-3323558 of 1 item has been dispatched,amazonin order 40711992673323558 1 item dispatched,Ecom
Your Amazon.in order #407-1199267-3323558,amazonin order 40711992673323558,Ecom
Delivered: Your Amazon package has been delivered.,delivered amazon package delivered,Ecom
Your Amazon.in order #403-6052107-2121129 of 1 item,amazonin order 40360521072121129 1 item,Ecom
Your Amazon.in order #403-6052107-2121129 of 1 item has been dispatched,amazonin order 40360521072121129 1 item dispatched,Ecom
Your Amazon.in order #403-6052107-2121129,amazonin order 40360521072121129,Ecom
Don't miss Valentine's Delight Deals 😍,dont miss valentines delight deals 😍,Food
Delivered,delivered amazon package delivered,Ecom
"Sai Kumar Bavisetti, regarding your recent order at Amazon.in.",sai kumar bavisetti regarding recent order amazonin,Ecom
(1) Cheesy message for Foodie! 😋,1 cheesy message foodie 😋,Food
Valentine's Week Special Deals 😍,valentines week special deals 😍,Food
Confirm your career preferences - action required!,confirm career preferences action required,Job
Date Night Offers inside 😍,date night offers inside 😍,Food
Wanna see an epic love story? 💘,wan na see epic love story 💘,Food
"Reminder: Complete job application for shortlisted role: FedEx
 <> Associate Data Analyst",reminder complete job application shortlisted role fedex associate data analyst,Job
"Sai, bigbasket is getting a big upgrade!😃",sai bigbasket getting big upgrade😃,Food
Invite unlocked,invite unlocked zomato gold carnival 🎉🎊,Food
This bite can change everything. 😌,bite change everything 😌,Food
Your Amazon.in order #407-2966039-8868345 of 1 item,amazonin order 40729660398868345 1 item,Ecom
Your Amazon.in order #407-2966039-8868345 of 1 item has been dispatched,amazonin order 40729660398868345 1 item dispatched,Ecom
Your profile is Shortlisted! Senior Data Scientist at Delta Air Lines,profile shortlisted senior data scientist delta air lines,Job
"Please Complete your Application for Senior Data Scientist at
 Delta Air Lines",please complete application senior data scientist delta air lines,Job
Your Amazon.in order #407-2966039-8868345,amazonin order 40729660398868345,Ecom
Return received for Wipro Vesta 360 Watt 4 in 1....,return received wipro vesta 360 watt 4 1,Ecom
"Urgent Hiring for Automobile Service Manager In Germany at
 Ameuro Migration Private Limited",urgent hiring automobile service manager germany ameuro migration private limited,Job
"Sai Kumar Bavisetti, Urgently hiring for Data Scientist, Senior
 Software Developer, Supply Chain Analyst",sai kumar bavisetti urgently hiring data scientist senior software developer supply chain analyst,Job
Urgent Hiring for Multiple Roles at Ameuro Migration Private Limited,urgent hiring multiple roles ameuro migration private limited,Job
"Urgent Hiring for Multiple Roles at Vertex Corporate Services
 India Pvt. Ltd.",urgent hiring multiple roles vertex corporate services india pvt ltd,Job
New jobs from your 8 March 2024 feed,new jobs 8 march 2024 feed,Job
59 new job opportunities are here Sai!,59 new job opportunities sai,Job
Urgent Hiring for Senior Engineer at Kec International Limited,urgent hiring senior engineer kec international limited,Job
A special Women’s Day message! 💖,special women ’ day message 💖,Food
We have some news 📣,news 📣,Food
"Urgent Hiring for Asst Manager/ Manager-Process Engineering
 (Vizag) (Leading Mnc Manufacturing Co) at Vertex Corporate Services India
 Pvt. Ltd.",urgent hiring asst manager managerprocess engineering vizag leading mnc manufacturing co vertex corporate services india pvt ltd,Job
Your Amazon.in order #403-7552192-7158707 of 1 item,amazonin order 40375521927158707 1 item,Ecom
Your Amazon.in order #403-7552192-7158707 of 1 item has been dispatched,amazonin order 40375521927158707 1 item dispatched,Ecom
New jobs from your 18 March 2024 feed,new jobs 18 march 2024 feed,Job
New jobs posted from jobs.zf.com,new jobs posted jobszfcom,Job
New jobs similar to MLOps Senior Data Scientist at GE Digital,new jobs similar mlops senior data scientist ge digital,Job
New jobs from your 17 March 2024 feed,new jobs 17 march 2024 feed,Job
New jobs posted by Eastman,new jobs posted eastman,Job
4 new jobs for “data analyst”,4 new jobs “ data analyst ”,Job
"Urgent Hiring for Multiple Roles at Vertex Corporate Services
 India Pvt. Ltd.",urgent hiring multiple roles vertex corporate services india pvt ltd,Job
Job | Senior Software Engineer - GenAi at EPAM Systems (Bangalore/Gurgaon/Hyderabad),job senior software engineer genai epam systems bangaloregurgaonhyderabad,Job
New jobs from your 15 March 2024 feed,new jobs 15 march 2024 feed,Job
New jobs from your 16 March 2024 feed,new jobs 16 march 2024 feed,Job
"Urgent Hiring for Automobile Engineer Opportunity In Germany at
 Ameuro Migration Private Limited",urgent hiring automobile engineer opportunity germany ameuro migration private limited,Job
"“data analyst” at RealPage, Inc",hiring “ data analyst ” realpage inc,Job
"Sai Kumar Bavisetti, Handpicked New Jobs for you - Data Scientist,
 Expert, Assistant Vice President",sai kumar bavisetti handpicked new jobs data scientist expert assistant vice president,Job
"Job | We are hiring for the position of Data Scientist - Chennai
 19775, Please confirm your interest",job hiring position data scientist chennai 19775 please confirm interest,Job
Urgent Hiring for Multiple Roles at Talent Leads Hr Solutions Pvt Ltd,urgent hiring multiple roles talent leads hr solutions pvt ltd,Job
[Invite] Data Engineer vs Data Scientist,invite data engineer vs data scientist,Job
